,IJI
Albacete.txt,9.879637
Alcala.txt,11.528130
Alcobendas.txt,15.371893
Alcorcon.txt,8.229806
Algeciras.txt,10.820873
Alicante.txt,10.057429
Almeria.txt,10.810420
Avila.txt,10.374722
Badagoz.txt,9.110097
Badalona.txt,14.459889
Barcelona.txt,17.034972
Burgos.txt,8.134834
Caceres.txt,9.008143
Cadiz.txt,10.370918
Cartagena.txt,12.057665
Castellon.txt,14.856298
Ceuta.txt,10.172125
Ciudad Real.txt,11.548152
Cordoba.txt,8.638293
Corunia.txt,9.371166
Cuenca.txt,8.716950
Dos_hermanas.txt,8.466449
elche.txt,10.017800
Fuentelabrada.txt,15.336302
Getafe.txt,6.651213
Gijon.txt,8.487592
Girona.txt,13.083362
Granada.txt,10.861967
Guadalajara.txt,13.057642
Hospitalet.txt,14.031637
Huelva.txt,9.983486
Huesca.txt,11.908660
Jaen.txt,7.976940
Jerez.txt,11.581823
Palmas.txt,14.176409
Leganes.txt,8.331189
Leon.txt,11.487682
Lleida.txt,12.846056
Logronio.txt,9.947848
Lugo.txt,10.901138
Madrid.txt,10.248382
Malaga.txt,10.104268
Marbella.txt,10.688337
Mataro.txt,16.693761
Melilla.txt,9.216040
Mostoles.txt,7.604313
Murcia.txt,11.482540
Ourense.txt,6.478429
Oviedo.txt,9.230418
Palencia.txt,9.575122
Mallorca.txt,15.600723
Parla.txt,7.905136
Pontevedra.txt,10.560709
Sabadell.txt,17.994628
Salamanca.txt,11.288692
San Cristobal.txt,12.337270
Santa Coloma.txt,16.338627
Santa Cruz.txt,9.025349
Santander.txt,13.140323
Segovia.txt,11.974658
Sevilla.txt,13.412080
Soria.txt,9.009657
Terragona.txt,14.707599
Terrasa.txt,17.736428
Teruel.txt,9.270194
Toledo.txt,10.888881
Torrejon.txt,9.017763
Valencia.txt,14.618656
Valladolid.txt,10.983938
Vigo.txt,11.377132
Zamora.txt,12.125267
Zaragoza.txt,12.752300
