,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,Landscape
Albacete.txt,1.036782,1.239875,1.196013,0.251356,0.242674,1.071821,1.061970,0.523948,0.500157,
Alcala.txt,1.025171,1.293679,1.267219,0.325155,0.328765,1.095561,1.092224,0.575723,0.578704,
Alconbendas.txt,1.028039,1.247419,1.185695,0.205145,0.164615,1.066683,1.054622,-3.814456,0.493816,
Alcorcon.txt,1.029029,1.248374,1.223028,0.262249,0.250720,1.068275,1.070708,0.539567,0.536001,
Algeciras.txt,1.048912,1.259996,1.214451,0.404055,0.386923,1.091095,1.080717,0.539164,0.521263,
Alicante.txt,1.024859,1.240818,1.204889,0.267953,0.262356,1.073578,1.066561,0.535360,0.518358,
Almeria.txt,1.027705,1.267989,1.232491,0.416482,0.413503,1.097109,1.084962,0.555736,0.542673,
Avila.txt,1.045991,1.264132,1.212057,0.384285,0.276697,1.081501,1.070384,0.342278,0.521552,
Badajoz.txt,1.008527,1.263527,1.219802,0.337390,0.338322,1.087256,1.074434,0.550015,0.535521,
Badalona.txt,1.046864,1.336913,1.302643,0.388141,0.412724,1.108151,1.104945,0.622964,0.636074,
Barcelona.txt,1.053047,1.294586,1.247781,0.314192,0.289829,1.093063,1.080488,0.571572,0.569940,
Burgos.txt,1.041695,1.256064,1.222159,0.285839,0.251415,1.078412,1.069578,0.548882,0.532380,
Caceres.txt,1.033562,1.254194,1.220952,0.339863,0.348555,1.084645,1.073838,0.543867,0.532931,
Cadiz.txt,1.065735,1.242394,1.198581,0.295931,0.287829,1.076832,1.065849,0.507219,0.486576,
Cartagena.txt,1.030318,1.242360,1.201139,0.352023,0.341692,1.083272,1.071986,0.527564,0.508556,
Castello.txt,0.995107,1.300942,1.239912,0.366698,0.353584,1.101108,1.081041,0.582947,0.565608,
Ceuta.txt,1.095603,1.262175,1.203947,0.474620,0.456466,1.095877,1.082542,0.488503,0.496238,
Ciudad Real.txt,1.028727,1.284991,1.257552,0.298989,0.302434,1.089199,1.082145,0.573261,0.568930,
Cordoba.txt,1.028187,1.284991,1.213202,0.287245,0.269167,1.078779,1.068802,0.523638,0.500479,Indices
Corunia.txt,1.068158,1.259186,1.210611,0.327174,0.322582,1.084438,1.074097,-369540.862454,0.539218,Indices
Cuenca.txt,1.041051,1.257844,1.218278,0.414560,0.380563,1.085491,1.078784,0.542628,0.527547,Indices
DosHermanas.txt,1.018742,1.270227,1.230733,0.342839,0.368318,1.085491,1.081870,0.551995,0.546940,Indices
Elche.txt,1.014367,1.239454,1.206914,0.276196,0.269019,1.074923,1.067840,0.234472,0.519107,Indices
Fuentelabra.txt,1.027474,1.297684,1.253234,0.265427,0.233612,1.096833,1.075680,0.562036,0.554194,Indices
Getafe.txt,1.023921,1.277073,1.242009,0.319235,0.328134,1.089673,1.081304,0.575847,0.559715,Indices
Gijon.txt,1.061926,1.235201,1.187461,0.240152,0.225954,1.068407,1.059691,0.529323,0.500220,Indices
Girona.txt,1.031952,1.235201,1.221572,0.293199,0.270808,1.084289,1.071519,0.562663,0.543797,Indices
Granada.txt,1.037741,1.244693,1.203264,0.366770,0.342883,1.083137,1.072860,0.512325,0.493546,Indices
Guadalajara.txt,1.025042,1.281085,1.250415,0.314805,0.324792,1.089258,1.083527,0.567957,0.565557,Indices
Hospitalet.txt,1.043084,1.294451,1.261530,0.341749,0.361694,1.096029,1.090425,0.596134,0.595362,Indices
Huelva.txt,1.035522,1.264199,1.227771,0.355944,0.318338,1.090463,1.078018,0.532601,0.516791,Indices
Huesca.txt,1.045864,1.280859,1.231216,0.277026,0.231976,1.084043,1.073433,0.552099,0.534035,Indices
Jaen.txt,1.039976,1.250475,1.220862,0.375607,0.375750,1.087279,1.079303,0.536592,0.526757,Indices
Jerez.txt,1.039824,1.262895,1.229980,0.346752,0.345283,1.087721,1.078811,0.391348,0.532329,Indices
Las Palmas.txt,1.059347,1.226561,1.197519,0.367684,0.375381,1.080615,1.072834,0.523458,0.506516,Indices
Leganes.txt,1.024230,1.272742,1.225505,0.286329,0.293514,1.084037,1.071646,0.548894,0.527147,Indices
Leon.txt,1.070044,1.239692,1.192680,0.296222,0.289311,1.075591,1.066118,0.518728,0.497454,Indices
LLeida.txt,1.040533,1.257449,1.207681,0.294280,0.280211,1.080504,1.070304,0.545342,0.524194,Indices
Logro̱o.txt,1.030207,1.251819,1.203456,0.234857,0.206249,1.072616,1.060387,0.531431,0.508794,Indices
Lugo.txt,1.091946,1.336751,1.286445,0.316380,0.331624,1.101408,1.092393,0.571794,0.621237,Indices
Madrid.txt,1.092991,1.282481,1.208812,0.323565,0.267850,inf,1.068510,0.366613,0.509534,Indices
Malaga.txt,1.066502,1.304931,1.237119,0.311432,0.313122,1.091681,1.079102,0.574079,0.559254,Indices
Marbella.txt,1.054742,1.250681,1.185366,0.247345,0.169418,1.070926,1.056655,0.211107,0.497154,Indices
Mataro.txt,1.015978,1.350681,1.312535,0.369457,0.403057,1.114026,1.104583,0.631793,0.645094,Indices
Melilla.txt,1.070934,1.199130,1.157815,0.444843,0.437038,1.076771,1.067197,0.480239,0.446324,Indices
Mostoles.txt,1.017083,1.297285,1.263912,0.283876,0.264516,1.090210,1.080007,0.573190,0.570475,Indices
Murcia.txt,1.060384,1.280109,1.222618,0.432661,0.298653,1.086209,1.073910,-139557.025199,0.533602,Indices
Ourense.txt,1.096012,1.280935,1.224703,0.326494,0.291726,1.087607,1.077016,0.564190,0.543765,Indices
Oviedo.txt,1.057826,1.254438,1.205068,0.265896,0.243552,1.353250,1.065915,0.538619,0.514612,Indices
Palencia.txt,1.043739,1.245576,1.201339,0.295989,0.296904,0.661278,1.068949,0.549911,0.518849,Indices
Palma.txt,1.027479,1.254301,1.214899,0.269904,0.262725,1.078541,1.068910,0.532558,0.529751,Indices
Parla.txt,1.043017,1.300935,1.280170,0.329106,0.336968,1.096462,1.092514,0.426996,0.608534,Indices
Pontevedra.txt,1.090859,1.296588,1.230306,0.284937,0.243004,1.086863,1.074690,0.521571,0.548893,Indices
Sabadell.txt,1.083084,1.415343,1.360043,0.415406,0.435982,1.133652,1.122543,-123991.316903,0.687683,Indices
Salamanca.txt,1.051635,1.257037,1.210580,0.312493,0.306654,1.082017,1.071350,0.549894,0.519920,Indices
San Cristobal.txt,1.082293,1.253427,1.205466,0.331662,0.335698,1.082882,1.072537,0.531807,0.518625,Indices
Santa Coloma.txt,1.046220,1.254024,1.207790,0.264173,0.230264,1.076411,1.065345,0.536362,0.516802,Indices
Santa Cruz.txt,1.049767,1.235287,1.199565,0.374101,0.374048,1.082768,1.072958,0.532703,0.516691,Indices
Santander.txt,1.069452,1.275037,1.213704,0.273275,0.244573,1.080693,1.068258,0.556365,0.525500,Indices
Segovia.txt,1.064557,1.273825,1.215704,0.302834,0.295236,1.083889,1.070855,0.547250,0.518428,Indices
Sevilla.txt,1.037978,1.274277,1.220119,0.607119,0.387460,1.095675,1.081466,0.297969,0.513680,Indices
Soria.txt,1.046220,1.254024,1.207790,0.264173,0.230264,1.076411,1.065345,0.536362,0.516802,Indices
Terragona.txt,1.057172,1.259214,1.206575,0.263796,0.216383,1.076287,1.065068,0.548120,0.528677,Indices
Terrasa.txt,1.035035,1.404373,1.348658,0.384417,0.417365,1.127680,1.119531,0.653962,0.675532,Indices
Teruel.txt,1.040073,1.276532,1.227719,0.326296,0.311237,1.088724,1.077512,0.561993,0.539894,Indices
Toledo.txt,1.025630,1.259621,1.216064,0.311901,0.295576,1.084151,1.073960,-55179.729801,0.520097,Indices
Torrejon.txt,1.046314,1.279729,1.224598,0.284110,0.283542,1.084836,1.072528,0.559403,0.535020,Indices
Valencia.txt,1.042692,1.257228,1.213188,0.306693,0.276416,1.079785,1.070835,0.545070,0.525500,Indices
Valladolid.txt,1.029885,1.260936,1.224576,0.297016,0.258540,2.406995,1.072220,0.554657,0.537779,Indices
Vigo.txt,1.109125,1.296248,1.232625,0.278694,0.239418,1.086155,1.074478,0.565968,0.551518,Indices
Zamora.txt,1.047176,1.260158,1.217223,0.350769,0.330062,1.086805,1.076438,0.547378,0.528852,Indices
Zaragoza.txt,1.045270,1.245742,1.197868,0.269641,0.255703,1.074214,1.064998,0.036638,0.504216,Indices
