,Ciudad,COD
0,Albacete,2002
1,Alcala,3009
2,Alcobendas,28040
3,Alcorcón,28041
4,Algeciras,11021
5,Alicante,3003
6,Almeria,4004
7,Avila,5008
8,Badalona,8029
9,Barcelona,8014
10,Badajoz,6006
11,Burgos,9020
12,Caceres,10016
13,Cadiz,11017
14,Cartagena,31007
15,Castello,8077
16,Ceuta,51001
17,Ciudad Real,13019
18,Cordoba,14020
19,Coruña,9131
20,Cuenca,16023
21,Dos Hermanas,41094
22,Elche,2032
23,Fuenlabrada,6057
24,Getafe,28102
25,Gijón,33063
26,Girona,17024
27,Granada,8108
28,Guadalajara,19032
29,Hospitalet,8115
30,Huelva,21027
31,Huesca,22035
32,Jaen,23032
33,Jerez,6076
34,"Palmas de Gran Canaria, Lass",
35,Leganés,6149
36,Leon,24031
37,Lleida,25034
38,Logroño,26124
39,Lugo,27033
40,Madrid,28034
41,Malaga,29035
42,Marbella,30001
43,Mataró,8135
44,Melilla,52001
45,Móstoles,28129
46,Murcia,30036
47,Ourense,32038
48,Oviedo,34006
49,Palencia,14068
50,Palma,7047
51,Parla,17151
52,Pontevedra,36047
53,Sabadell,8201
54,Salamanca,37050
55,Santander,40030
56,Santa Coloma,8258
57,Santa Cruz de Tenerife,38049
58,San Cristóbal,24175
59,Segovia,40061
60,Sevilla,28176
61,Soria,42061
62,Tarragona,43058
63,Terrassa,8293
64,Teruel,44063
65,Toledo,45061
66,Torrejon,10205
67,Valencia,6145
68,Valladolid,47062
69,Vigo,37041
70,Zamora,49069
71,Zaragoza,50066
