Ciudades;Ciudad_renta;Renta neta media por persona 2020;Ciudad_Coches;Población Total;Población Hombres;Población Mujeres;Parque Vehiculos Total;Ciudad_viviendas;Total viviendas;Total viviendas principales;Viviendas secundarias;Viviendas vacias;Total viviendas colectivas
Albacete; Albacete;12529;Albacete;174336;85214;89122;125053;Albacete;83.250;62.980;5.168;15.081;22
Alcalá de Henares; Alcalá de Henares;13243;Alcalá de Henares;197562;96061;101501;124019;Alcalá de Henares;78.947;71.864;1.255;5.798;30
Alcorcón; Alcobendas;18684;Alcobendas;118417;56554;61863;247035;Alcobendas;41.189;39.101;566;1.513;9
Algeciras; Alcorcón;13522;Alcorcón;172384;82959;89425;99385;Alcorcón;70.861;66.066;1.303;3.488;4
Almería; Algeciras;10665;Algeciras;123078;60729;62349;90188;Algeciras;54.089;42.692;4.700;6.686;11
Ávila;Alicante;11676;Alicante/Alacant;337482;163385;174097;235733;Alicante/Alacant;186.558;132.637;28.707;25.172;42
Badajoz; Almería;11233;Almería;201322;98531;102791;142223;Almería;99.692;69.178;12.276;18.220;18
Badalona; Ávila;13209;Ávila;58369;27784;30585;41695;Ávila;34.487;22.770;3.506;8.189;22
Barcelona; Badajoz;11775;Badajoz;150984;73170;77814;116431;Badajoz;72.067;56.297;5.161;10.589;20
Burgos; Badalona;12537;Badalona;223166;110018;113148;126321;Badalona;92.894;81.793;2.199;8.881;21
Cáceres; Barcelona;16750;Barcelona;1664182;790708;873474;968655;Barcelona;811.521;684.078;38.769;88.259;414
Cádiz; Burgos;14421;Burgos;176418;83995;92423;107558;Burgos;92.140;71.076;6.893;14.107;65
Cartagena; Cáceres;12815;Cáceres;96255;46104;50151;73858;Cáceres;50.311;37.048;5.989;7.256;18
Córdoba; Cádiz;12997;Cádiz;115439;54580;60859;70672;Cádiz;59.204;46.966;5.346;6.874;17
Coruña, A; Cartagena;11092;Cartagena;216108;107478;108630;159993;Cartagena;115.780;76.599;28.332;10.818;30
Cuenca; Castelló de la Plana;12785;Castelló de la Plana;174264;84319;89945;128463;Castellón de la Plana/Castelló de la Plana;90.990;68.917;8.363;13.696;14
Getafe; Ceuta;12358;Ceuta;84202;42542;41660;67589;Ceuta;26.664;24.904;413;1.335;13
Gijón; Ciudad Real;13580;Ciudad Real;75504;35773;39731;48679;Ciudad Real;38.018;29.682;3.070;5.253;13
Girona; Córdoba;11791;Córdoba;326039;156523;169516;225687;Córdoba;152.772;121.823;13.280;17.615;54
Granada; Coruña, A;14591;Coruña, A;247604;114776;132828;144917;Coruña, A;135.450;105.584;10.544;19.283;40
Guadalajara; Cuenca;13160;Cuenca;54621;25956;28665;40587;Cuenca;30.958;21.473;4.594;4.866;25
Huelva; Dos Hermanas;10994;Dos Hermanas;135050;66330;68720;97507;Dos Hermanas;50.661;44.299;1.094;5.258;10
Huesca;Elche;9840;Elche/Elx;234765;116386;118379;164532;Elche/Elx;113.351;86.118;13.660;13.558;15
Jaén; Fuenlabrada;11205;Fuenlabrada;194514;95847;98667;122452;Fuenlabrada;70.841;66.655;674;3.506;6
León; Getafe;13638;Getafe;185180;90403;94777;107745;Getafe;69.002;62.509;1.663;4.812;17
Logroño; Gijón;13842;Gijón;271717;127961;143756;167896;Gijón;147.212;122.519;8.079;16.551;63
Lugo; Girona;14750;Girona;103369;49809;53560;76071;Girona;47.486;38.245;2.474;6.727;40
Madrid; Granada;13251;Granada;233648;107829;125819;173509;Granada;140.027;96.916;16.029;27.024;59
Málaga; Guadalajara;13514;Guadalajara;87484;42091;45393;57686;Guadalajara;40.223;32.538;2.263;5.398;23
Marbella; Hospitalet de Llobregat, L';11726;Hospitalet de Llobregat, L';269382;130289;139093;126843;Hospitalet de Llobregat, L';112.105;102.031;1.429;8.605;39
Mataró; Huelva;11310;Huelva;143837;69043;74794;98494;Huelva;67.752;55.255;3.979;8.507;11
Melilla; Huesca;13630;Huesca;53956;25702;28254;36057;Huesca;28.310;20.786;2.615;4.883;26
Móstoles; Jaén;12495;Jaén;112757;54244;58513;82789;Jaén;54.642;43.258;4.123;7.247;13
Murcia;Jerez de la Frontera;10049;Jerez de la Frontera;213105;104086;109019;156740;Jerez de la Frontera;92.037;77.378;4.424;10.213;23
Ourense; Leganés;12584;Leganés;191114;92573;98541;111070;Leganés;75.525;70.949;651;3.914;11
Oviedo; León;14434;León;124028;56191;67837;78774;León;78.776;57.490;5.889;15.346;51
Palencia; Lleida;13303;Lleida;140403;69541;70862;94148;Lleida;66.454;55.792;3.167;7.456;40
Parla; Logroño;13791;Logroño;152485;72341;80144;93436;Logroño;77.682;61.904;4.106;11.640;33
Pontevedra; Lugo;12992;Lugo;98519;45568;52951;71727;Lugo;59.647;40.227;7.026;12.370;24
Sabadell; Madrid;17059;Madrid;3334730;1553899;1780831;2012707;Madrid;1.531.490;1.320.531;57.325;153.101;533
Salamanca; Málaga;11246;Málaga;578460;277789;300671;420160;Málaga;254.736;211.358;14.890;28.410;78
Santander; Marbella;9993;Marbella;147633;70833;76800;128691;Marbella;86.716;48.791;26.231;11.678;16
Segovia; Mataró;12201;Mataró;129661;64476;65185;82443;Mataró;54.329;47.081;1.272;5.957;19
Sevilla; Melilla;11665;Melilla;87076;44162;42914;72353;Melilla;26.246;24.666;200;1.367;13
Soria; Móstoles;12064;Móstoles;210309;102307;108002;127220;Móstoles;79.599;74.951;1.649;2.992;6
Tarragona; Murcia;11778;Murcia;459403;224929;234474;358228;Murcia;207.618;156.916;14.611;36.044;47
Terrassa; Ourense;13037;Ourense;105643;47891;57752;73491;Ourense;67.104;43.805;8.707;14.561;32
Teruel; Oviedo;14657;Oviedo;219910;101749;118161;133254;Oviedo;123.730;97.821;7.283;18.582;45
Toledo; Palencia;13662;Palencia;78144;36875;41269;51281;Palencia;44.610;32.691;4.745;7.137;37
Torrejón de Ardoz; Palmas de Gran Canaria, Las;12509;Palmas de Gran Canaria, Las;381223;183905;197318;275061;Palmas de Gran Canaria, Las;182.930;144.987;8.299;29.604;40
Valencia;Palmas de mallorca;12998;Palma de Mallorca;422587;206654;215933;360254;Palma de Mallorca;182.244;159.316;6.521;16.349;58
Valladolid; Parla;9803;Parla;133482;66524;66958;66997;Parla;47.097;43.712;576;2.805;4
Vigo; Pontevedra;13047;Pontevedra;83260;39344;43916;59044;Pontevedra;39.568;30.946;1.726;6.886;10
Zamora; Sabadell;13520;Sabadell;216520;105388;111132;139550;Sabadell;93.237;81.596;1.423;10.184;34
Zaragoza; Salamanca;13185;Salamanca;144825;65661;79164;79554;Salamanca;92.491;64.588;14.907;12.954;42
; San Cristóbal de La Laguna;11481;San Cristóbal de La Laguna;158911;76703;82208;129699;San Cristóbal de La Laguna;71.233;57.555;4.045;9.621;13
; Santa Coloma de Gramenet;10799;Santa Coloma de Gramenet;120443;59527;60916;57124;Santa Coloma de Gramenet;48.527;45.646;498;2.371;12
; Santa Cruz de Tenerife;12547;Santa Cruz de Tenerife;209194;99840;109354;176209;Santa Cruz de Tenerife;96.313;78.572;5.125;12.593;23
; Santander;14202;Santander;173375;79936;93439;117011;Santander;92.442;73.395;8.286;10.742;18
; Segovia;13441;Segovia;52057;24328;27729;36270;Segovia;28.894;21.254;2.649;4.972;19
; Sevilla;12490;Sevilla;691395;328013;363382;485440;Sevilla;337.303;268.435;20.612;48.178;77
; Soria;14573;Soria;39821;18788;21033;29588;Soria;23.597;15.965;3.645;3.977;10
; Tarragona;13860;Tarragona;136496;66666;69830;94004;Tarragona;65.723;52.391;5.548;7.772;12
; Terrassa;13243;Terrassa;223627;109948;113679;149620;Terrassa;101.739;83.249;2.544;15.908;38
; Teruel;14090;Teruel;36240;17287;18953;28945;Teruel;19.022;13.218;2.755;3.026;22
; Toledo;14326;Toledo;85811;40941;44870;60442;Toledo;37.923;31.386;2.464;4.030;44
; Torrejón de Ardoz;12188;Torrejón de Ardoz;132853;65343;67510;86439;Torrejón de Ardoz;49.216;44.581;661;3.967;7
; València;13873;Valencia;800215;380293;419922;513747;Valencia;419.994;328.979;33.757;57.193;64
;Valladolid;14247;Valladolid;299265;140247;159018;182319;Valladolid;158.259;129.151;10.260;18.757;91
; Vigo;13164;Vigo;296692;140164;156528;215138;Vigo;143.638;114.455;10.536;18.588;58
; Zamora;12884;Zamora;60988;28299;32689;41943;Zamora;39.079;27.297;5.092;6.673;17
;Zaragoza;14220;Zaragoza;681877;326103;355774;376213;Zaragoza;327.112;277.588;14.208;35.136;180
