,Ciudad,COD,Total viviendas,Total viviendas principales,Viviendas secundarias,Viviendas vacias,Total viviendas colectivas
X,Albacete,2003,"83,250","62,980","5,168","15,081",22
X,Alcalá de Henares,28005,"78,947","71,864","1,255","5,798",30
X,Alcobendas,28006,"41,189","39,101",566,"1,513",9
X,Alcorcón,28007,"70,861","66,066","1,303","3,488",4
X,Algeciras,11004,"54,089","42,692","4,700","6,686",11
X,Alicante/Alacant,3014,"186,558","132,637","28,707","25,172",42
X,Almería,4013,"99,692","69,178","12,276","18,220",18
X,Ávila,5019,"34,487","22,770","3,506","8,189",22
X,Badajoz,6015,"72,067","56,297","5,161","10,589",20
X,Badalona,8015,"92,894","81,793","2,199","8,881",21
X,Barcelona,8019,"811,521","684,078","38,769","88,259",414
X,Burgos,9059,"92,140","71,076","6,893","14,107",65
X,Cáceres,10037,"50,311","37,048","5,989","7,256",18
X,Cádiz,11012,"59,204","46,966","5,346","6,874",17
X,Cartagena,30016,"115,780","76,599","28,332","10,818",30
X,Castellón de la Plana/Castelló de la Plana,12040,"90,990","68,917","8,363","13,696",14
X,Ceuta,51001,"26,664","24,904",413,"1,335",13
X,Ciudad Real,13034,"38,018","29,682","3,070","5,253",13
X,Córdoba,14021,"152,772","121,823","13,280","17,615",54
X,"Coruña, A",15030,"135,450","105,584","10,544","19,283",40
X,Cuenca,16078,"30,958","21,473","4,594","4,866",25
X,Dos Hermanas,41038,"50,661","44,299","1,094","5,258",10
X,Elche/Elx,3065,"113,351","86,118","13,660","13,558",15
X,Fuenlabrada,28058,"70,841","66,655",674,"3,506",6
X,Getafe,28065,"69,002","62,509","1,663","4,812",17
X,Gijón,33024,"147,212","122,519","8,079","16,551",63
X,Girona,17079,"47,486","38,245","2,474","6,727",40
X,Granada,18087,"140,027","96,916","16,029","27,024",59
X,Guadalajara,19130,"40,223","32,538","2,263","5,398",23
X,"Hospitalet de Llobregat, L'",8101,"112,105","102,031","1,429","8,605",39
X,Huelva,21041,"67,752","55,255","3,979","8,507",11
X,Huesca,22125,"28,310","20,786","2,615","4,883",26
X,Jaén,23050,"54,642","43,258","4,123","7,247",13
X,Leganés,28074,"75,525","70,949",651,"3,914",11
X,León,24089,"78,776","57,490","5,889","15,346",51
X,Lleida,25120,"66,454","55,792","3,167","7,456",40
X,Logroño,26089,"77,682","61,904","4,106","11,640",33
X,Lugo,27028,"59,647","40,227","7,026","12,370",24
X,Madrid,28079,"1,531,490","1,320,531","57,325","153,101",533
X,Málaga,29067,"254,736","211,358","14,890","28,410",78
X,Marbella,29069,"86,716","48,791","26,231","11,678",16
X,Mataró,8121,"54,329","47,081","1,272","5,957",19
X,Melilla,52001,"26,246","24,666",200,"1,367",13
X,Móstoles,28092,"79,599","74,951","1,649","2,992",6
X,Murcia,30030,"207,618","156,916","14,611","36,044",47
X,Ourense,32054,"67,104","43,805","8,707","14,561",32
X,Oviedo,33044,"123,730","97,821","7,283","18,582",45
X,Palencia,34120,"44,610","32,691","4,745","7,137",37
X,"Palmas de Gran Canaria, Las",35016,"182,930","144,987","8,299","29,604",40
X,Parla,28106,"47,097","43,712",576,"2,805",4
X,Pontevedra,36038,"39,568","30,946","1,726","6,886",10
X,Sabadell,8187,"93,237","81,596","1,423","10,184",34
X,Salamanca,37274,"92,491","64,588","14,907","12,954",42
X,San Cristóbal de La Laguna,38023,"71,233","57,555","4,045","9,621",13
X,Santa Coloma de Gramenet,8245,"48,527","45,646",498,"2,371",12
X,Santa Cruz de Tenerife,38038,"96,313","78,572","5,125","12,593",23
X,Santander,39075,"92,442","73,395","8,286","10,742",18
X,Segovia,40194,"28,894","21,254","2,649","4,972",19
X,Sevilla,41091,"337,303","268,435","20,612","48,178",77
X,Soria,42173,"23,597","15,965","3,645","3,977",10
X,Tarragona,43148,"65,723","52,391","5,548","7,772",12
X,Terrassa,8279,"101,739","83,249","2,544","15,908",38
X,Teruel,44216,"19,022","13,218","2,755","3,026",22
X,Toledo,45168,"37,923","31,386","2,464","4,030",44
X,Torrejón de Ardoz,28148,"49,216","44,581",661,"3,967",7
X,Valencia,46250,"419,994","328,979","33,757","57,193",64
X,Valladolid,47186,"158,259","129,151","10,260","18,757",91
X,Vigo,36057,"143,638","114,455","10,536","18,588",58
X,Zamora,49275,"39,079","27,297","5,092","6,673",17
X,Zaragoza,50297,"327,112","277,588","14,208","35,136",180
X,Jerez de la Frontera,11020,"92,037","77,378","4,424","10,213",23
X,Palma de Mallorca,7040,"182,244","159,316","6,521","16,349",58
